# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 18 12:14:25 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_pubdate:   Discovery Publication Date
# COLUMN disc_facility:  Discovery Facility
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,discoverymethod,disc_year,disc_pubdate,disc_facility,st_mass,glat,glon,sy_dist
11 Com b,Radial Velocity,2007,2008-01,Xinglong Station,2.70,78.28058,264.13775,93.1846000
11 Com b,Radial Velocity,2007,2008-01,Xinglong Station,2.60,78.28058,264.13775,93.1846000
11 UMi b,Radial Velocity,2009,2009-10,Thueringer Landessternwarte Tautenburg,1.80,41.04437,108.71900,125.3210000
11 UMi b,Radial Velocity,2009,2009-10,Thueringer Landessternwarte Tautenburg,2.78,41.04437,108.71900,125.3210000
11 UMi b,Radial Velocity,2009,2009-10,Thueringer Landessternwarte Tautenburg,1.70,41.04437,108.71900,125.3210000
14 And b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.20,-21.05141,106.41269,75.4392000
14 And b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,2.20,-21.05141,106.41269,75.4392000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,0.90,46.94447,69.16849,17.9323000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,0.90,46.94447,69.16849,17.9323000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,1.00,46.94447,69.16849,17.9323000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,0.97,46.94447,69.16849,17.9323000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,0.91,46.94447,69.16849,17.9323000
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,,46.94447,69.16849,17.9323000
